Comment,Description,Designator,Footprint,LibRef,Quantity

"Murata GRM188R60J226MEA0J","0603 6.3 V 22 uF ±20% Tolerance X5R SMT Multilayer Ceramic Chip Capacitor","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16","PCB-0lt2tlorldzk7b1ikz7j-1","CMP-0406ccc3fa2ddbc1-1","16"
"Kemet T491A106K010AT","Cap Tant Solid 10uF 10V A CASE 10% (3.2 X 1.6 X 1.6mm) SMD 3216-18 3.8 Ohm 125C T/R","C17, C19, C22, C24, C26, C28, C33, C34, C39, C45, C47, C50, C51","PCB-z1fsktxgkyvo6s7hhrmp-1","CMP-e2d92bd252d93d1e-2","13"
"Samsung CL05B104KP5NNNC","CL05 Series 0.1 uF 10 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C18, C20, C21, C23, C25, C27, C29, C30, C31, C32, C35, C40, C41, C46, C49, C52","PCB-wdo14ufqtx9e5lciolxc-1","CMP-97145e617dc648d3-3","16"
"Würth Elektronik 860020672005","Aluminium Electrolytic Capacitor, WCAP-ATG5 Series, 1 F, 20%, 50 V, 5 mm, Radial Leaded","C36","PCB-h0tpes09f84bylb2e008-1","CMP-b941737d36536686-1","1"
"Rubycon 16PX10000MEFC16X31.5","Cap Aluminum Lytic 10000uF 16V 20% (16 X 31.5mm) Radial 7.5mm 1950mA 2000h 105°C Bulk","C37","","CMP-3388fbb31d24ec4f-4","1"
"Nichicon AEC UZR1H0R1MCL1GB","Aluminum Electrolytic Capacitors - SMD 50volts 0.1uF 85c 4X3.9","C38","Nichicon AEC UZR1H0R1MCL1GB-Footprint-1","CMP-101531-5","1"
"Murata GRM0335C1H200JA01D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0201 20pF 50volts C0G +/-5%","C42, C43","CAPC1005X56X25ML10T15","CMP-3573569-4","2"
"Taiyo Yuden JMK105BJ105KV-F","Cap Ceramic 1uF 6.3V X5R 10% SMD 0402 85Â°C Paper T/R","C44, C48","PCB-j2ftjotvcug85tkm51ob-1","CMP-92075b0eb03e4dc0-1","2"
"panoramix APTD2012LSYCK","LED Uni-Color SB. Yellow 590nm 2-Pin Chip LED T/R","D1, D2","Kingbright APTD2012LSYCK-Footprint-1","CMP-3ae3f73e6e52e524-1","2"
"Kingbright APTD2012LZGCK","Standard LEDs; SMD 0810 Dome Lens LED; 2.0x1.2 mm; Green; (Cut Reel)","D3, D4, D5","PCB-w3xds7ygkg7mnhc1cmmw-1","CMP-f2943f49a62b2d53-1","3"
"Kingbright APTD2012LSURCK","Standard LEDs; SMD 0806 Dome Lens LED; 2.0x1.2 mm; Red; (Cut Reel)","D6, D7, D8","PCB-iw7n8hwpuzl09snnxv9p-1","CMP-10e0dd3d4450cf27-1","3"
"ON Semiconductor ES1JFL","Diode Ultra Fast Rectifier 600V 1A 2-Pin SOD-123F T/R","D9, D10, D11, D12, D13, D14, D15, D17","PCB-n4d7strh02ppfuecjec7-1","CMP-d18f1b0cb91f0e48-4","8"
"LM317BD2TG","Linear Voltage Regulator, Positive, Adjustable Output, 1.5 A TJ = -40° to +125°C","DA1, DA2","PCBComponent_1 - duplicate","CMP-15eddce85befca2a-4","2"
"Vishay TDSR1360 DISPLAY","LED; 280 ucd (Min.) @ 1 mA; 650 nm (Typ.) @ 1 mA; 1.8 V (Typ.) @ 1 mA; 5 V;","DS1_$ChannelName","PCB-wjfw9shywxa82n8451hf-1","CMP-7c47b7143e56a380-9","4"
"Sullins SFH11-PBPC-D10-ST-BK","20 Position Total Dual Row 2.54 mm Pitch Straight Female Box Header","P1","PCB-83mps1k0gqada0l58a0x-1","CMP-9fd6561db1f14011-1","1"
"Molex 87831-1220","Conn Shrouded Header (4 Sides) HDR 12 POS 2mm Solder ST Top Entry Thru-Hole Milli-Grid™ Tube","P2","PCB-6vf2p1s9ekmr7d72yzhx-1","CMP-d9471049c6620680-1","1"
"Sullins PPTC201LFBN-RC","20 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","P3","PCB-z0ty6rx85lga4uhy8mfk-1","CMP-1abcd3b21d61c57b-4","1"
"Molex 53047-1010","Headers & Wire Housings VERTICAL HDR 10P","P4","PCB-2481956-1","CMP-2481956-4","1"
"Yageo RC0805FR-0710KL","Res Thick Film 0805 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Epoxy Pad SMD T/R","R1, R2, R3, R4","PCB-9100704-1","CMP-1854303-39","4"
"Vishay Dale CRCW02011K20FKED","Thick Film Resistors - SMD 1/20watt 1.2Kohms 1% 100ppm","R5, R6, R7, R8, R9, R10, R11, R12","RESC0603X28X15NL05T05","CMP-1859820-2","8"
"Vishay Dale CRCW02013K00FKED","RES SMD 3K OHM 1% 1/20W 0201","R13, R14, R15, R16","RESC0603X28X15LL05T05","CMP-1859822-2","4"
"Yageo RC0402JR-074K7L","Res Thick Film 1.0 x 0.5 mm 4.7K Ohm 5% 0.063W(1/16W) 100ppm/ C Molded SMD Paper T/R","R17, R18, R19, R20, R21, R23, R24, R41","RESC1005X04N","CMP-c8d801c1cfb1171f-2","8"
"Panasonic ERJ-S03J222V","Res Thick Film 0603 2.2K Ohm 5% 1/10W ±200ppm/°C Molded SMD SMD Punched Carrier T/R","R22, R33, R34, R35, R36, R37, R38, R39, R40, R47, R48","CAPC1608X90X35NL15T15","CMP-84374f5fe8025bf0-1","11"
"Uniroyal 0603WAF3300T5E","CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/10W 0603 ROHS","R25_$ChannelName, R26_$ChannelName, R27_$ChannelName, R28_$ChannelName, R29_$ChannelName, R30_$ChannelName, R31_$ChannelName, R32_$ChannelName","0603WAF3300T5E","CMP-d0361cd0d87d0ff1-1","32"
"Yageo / Phycomp RC0402FR-0768KL","RES SMD 68K OHM 1% 1/16W 0402","R42","RESC1005X40X25NL05T10","CMP-1900174-2","1"
"Yageo / Phycomp RC0402FR-072K4L","RES SMD 2.4K OHM 1% 1/16W 0402","R43","RESC1005X40X25NL05T10","CMP-1853114-2","1"
"Panasonic ERJ-2RKF2201X","Precision resistor, SMD [Panasonic Automotive & Industrial Systems] ERJ2RKF2201X Precision resistor, SMD","R44, R45, R46, R49, R55, R56, R57, R61, R63","PCB-0lk0bdk11ubuienx11rv-1","CMP-1e3ed7822610c1f9-2","9"
"Yageo / Phycomp RC0402FR-074K42L","Thick Film Resistors - SMD 4.42K OHM 1%","R50, R51, R52, R53","RESC1005X40X25LL05T10","CMP-3694873-2","4"
"Vishay Dale CRCW04028K87FKED","Thick Film Resistors - SMD 1/16watt 8.87Kohms 1% 100ppm","R54","RESC1005X40X25LL05T05","CMP-1856837-2","1"
"Panasonic ERJ-2RKF1472X","Thick Film Resistors - SMD 0402 14.7Kohms 1% Tol","R58","RESC1005X40X25ML05T05","CMP-3654661-2","1"
"Vishay Dale CRCW040220K0FKED","RES SMD 20K OHM 1% 1/16W 0402","R59","PCB-xukofss9ju753iqcqyy1-1","CMP-1856379-5","1"
"Stackpole Electronics RMCF0603FT12K1","Res Thick Film 0603 12.1k Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R60","RESC1609X50X30ML10T20","CMP-4a788257458695bf-1","1"
"Arun -CTS Components 219-4MSTR","Switch DIP ON OFF SPST 4 Raised Slide 0.1A 20VDC Gull Wing 2000Cycles 2.54mm SMD T/R","SW2","PCB-w5asm2ui77r6y7paijkm-1","CMP-1766de7912dec8a1-2","1"
"NXP Semiconductors 74HC161PW,118","Counter Single 4-Bit Sync Binary UP 16-Pin TSSOP T/R","U1, U2, U14, U15","74HC161PW","CMP-7ee3b776945ea124-1","4"
"Texas Instruments SN74HC00PWR","74HC00 quad NAND gate TSSOP 14","U3","PCB-km7m6461xupsyu5p8fbn-1","CMP-1078d9752f36cfbf-5","1"
"Nexperia 74HC165PW,118","74HC Series 6 V 8-Bit Parallel-In/Serial Out Shift Register - TSSOP-16","U4, U10, U12","PCB-l7v5lpviuh96d6vuhrfj-1","CMP-d6a61b1d9d060961-1","3"
"Nexperia 74HC595PW,118","74HC(T)595 - 8-bit serial-in, serial or parallel-out shift register with output latches; 3-state","U5, U6, U9_$ChannelName","PCB-o242chspmi3els652icb-1","CMP-284ce1e6cd9cf78b-7","6"
"Texas Instruments SN74HC373N","Octal Transparent D-Type Latches With 3-State Outputs 20-PDIP -40 to 85","U7","DIP-16","CMP-065dcf501350d99a-3","1"
"Texas Instruments SN74HC139N","Dual 2-Line To 4-Line Decoders/Demultiplexers 16-PDIP -40 to 85","U8","PCB-ctj26q9zb3sevqagct1v-1","CMP-00b6c9bc66ecdf71-2","1"
"Texas Instruments SN74HC125PWR","p","U11","SOP14","CMP-1de6d4cf9c50c221-3","1"
"NXP Semiconductors 74HC151PW-Q100,118","Multiplexer 1-Element CMOS 8-IN 16-Pin TSSOP T/R","U13","","CMP-e43c2c4f5d0e3bfb-1","1"
"TLV5604CPW","10-Bit, 3 us Quad DAC, Serial Input, Simultaneous Update, Programmable Settling Time, Power Down, 0 to 70 degC, 16-pin SOP (PW16), Green (RoHS & no Sb/Br)","U16","TI-PW16_M","CMP-1089223-2","1"
"Microchip MCP6004T-I/ST","MCP6004 Series 6 V 1 MHz SMT Low-Power Operational Amplifier - TSSOP-14","U17, U20","PCB-qd5l9gv8ivpyuc7qt6ns-1","CMP-1324864-8","2"
"MCP6002-I/SN","1 MHz, Low-Power Operational Amplifier, 8-Pin SOIC, Industrial Temperature","U18, U19, U23","SOIC-SN8_M","CMP-1319626-5","3"
"Texas Instruments ADS8867IDGSR","Single Channel Single ADC SAR 100ksps 16-bit Serial 10-Pin VSSOP T/R","U21, U103","PCB-d59p20ac3i2z7mc1g5dw-1","CMP-3953f19d873ae694-2","2"
"TI SN74LVC1G125DCKR","Buffer/Line Driver 1-CH Non-Inverting 3-ST CMOS Medical 5-Pin SC-70 T/R","U22","SC-70-5","CMP-814a4847b2015e8d-9","1"
"Texas Instruments SN74HC21PW","AND Gate 2-Element 4-IN CMOS 14-Pin TSSOP Tube","U100","PCB-zlibg0os7u66y1b7c6dv-1","CMP-6615af12324ab9d2-2","1"
"Nexperia 74LVC1T45GW,125","74LVC1T45; 74LVCH1T45 - Dual supply translating transceiver; 3-state","U101","PCB-2kx227qvn7pif93bx96a-1","CMP-9dea5051caa8422d-3","1"
